Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100pF,C_0402_1005Metric,230.845,-43.025,0.0,top
C2,100pF,C_0402_1005Metric,231.2,-36.52,90.0,top
C4,100nF,C_0402_1005Metric,142.08,-92.0,0.0,top
C5,100pF,C_0402_1005Metric,183.5,-127.3,90.0,top
C6,100pF,C_0402_1005Metric,183.5,-117.75,0.0,top
C8,100pf,C_0402_1005Metric,142.62,-111.9,0.0,top
C9,1nF,C_0402_1005Metric,139.573,-130.965,-90.0,top
C10,10nF,C_0402_1005Metric,135.69,-125.603,180.0,top
C11,100nF,C_0402_1005Metric,134.4775,-47.57,-90.0,top
C12,100nF,C_0402_1005Metric,140.96,-42.785,180.0,top
C13,100nF,C_0402_1005Metric,138.656,-62.992,180.0,top
C14,100nF,C_0402_1005Metric,134.68,-68.62,-90.0,top
C15,100nF,C_0402_1005Metric,143.1775,-49.27,90.0,top
C16,100nF,C_0402_1005Metric,135.3,-56.05,0.0,top
C19,100nF,C_0402_1005Metric,223.424,-48.4952,180.0,top
C20,100nF,C_0402_1005Metric,228.0012,-41.8404,180.0,top
C21,100nF,C_0402_1005Metric,219.87,-40.24,180.0,top
C22,100nF,C_0402_1005Metric,227.44,-35.03,180.0,top
C23,100nF,C_0402_1005Metric,172.11,-79.13,90.0,top
C24,100nF,C_0402_1005Metric,162.79,-82.96,-90.0,top
C25,22pF,C_0402_1005Metric,229.35,-56.17,-90.0,top
C26,100nF,C_0402_1005Metric,183.9,-130.68,90.0,top
C27,100nF,C_0402_1005Metric,190.5,-136.68,90.0,top
C28,100nF,C_0402_1005Metric,183.9804,-122.178,-90.0,top
C29,100nF,C_0402_1005Metric,190.5844,-125.5588,-90.0,top
C30,100nF,C_0402_1005Metric,183.455,-112.525,180.0,top
C31,100nF,C_0402_1005Metric,190.5,-117.916,-90.0,top
C32,100nF,C_0402_1005Metric,184.06,-103.295,-90.0,top
C33,100nF,C_0402_1005Metric,190.23,-109.94,0.0,top
C34,100nF,C_0402_1005Metric,137.88,-111.9,0.0,top
C35,100nF,C_0402_1005Metric,141.8,-105.35,180.0,top
C36,100nF,C_0402_1005Metric,134.77,-120.6,-90.0,top
C37,100nF,C_0402_1005Metric,143.17,-121.29,90.0,top
C40,100nF,C_0402_1005Metric,137.12,-98.75,180.0,top
C41,100nF,C_0402_1005Metric,143.79,-76.81,0.0,top
C42,100nF,C_0402_1005Metric,134.82,-80.84,-90.0,top
C43,100nF,C_0402_1005Metric,208.1175,-98.675,0.0,top
C44,100nF,C_0402_1005Metric,194.925,-39.925,-90.0,top
C45,100nF,C_0402_1005Metric,195.3,-50.825,-90.0,top
C46,100nF,C_0402_1005Metric,208.855,-49.3,180.0,top
C47,100nF,C_0402_1005Metric,207.1,-39.77,90.0,top
C48,100nF,C_0402_1005Metric,194.82,-52.55,180.0,top
C49,100nF,C_0402_1005Metric,185.22,-59.0,180.0,top
C50,100nF,C_0402_1005Metric,187.666,-95.4344,0.0,top
C51,100nF,C_0402_1005Metric,185.86,-74.09,0.0,top
C52,100nF,C_0402_1005Metric,185.38,-80.9,180.0,top
C53,100nF,C_0402_1005Metric,191.075,-68.57,90.0,top
C54,100nF,C_0402_1005Metric,191.0416,-53.8572,90.0,top
C55,100nF,C_0402_1005Metric,189.53,-80.95,180.0,top
C56,100nF,C_0402_1005Metric,220.4,-116.42,180.0,top
C57,100nF,C_0402_1005Metric,214.945,-118.65,0.0,top
C58,100nF,C_0402_1005Metric,209.49,-116.87,-90.0,top
C59,100nF,C_0402_1005Metric,200.76,-119.535,0.0,top
C60,100nF,C_0402_1005Metric,196.205,-109.7,0.0,top
C61,330nF,C_0402_1005Metric,228.03,-64.775,180.0,top
C62,100nF,C_0402_1005Metric,224.415,-64.825,180.0,top
C63,100nF,C_0402_1005Metric,191.02,-61.58,90.0,top
C64,100nF,C_0402_1005Metric,181.034,-100.997,0.0,top
C65,100nF,C_0402_1005Metric,189.4896,-88.3732,180.0,top
C66,100nF,C_0402_1005Metric,183.856,-95.028,0.0,top
C67,100nF,C_0402_1005Metric,182.03,-72.22,-90.0,top
C68,100nF,C_0402_1005Metric,185.3,-66.8,180.0,top
C69,100nF,C_0402_1005Metric,185.37,-87.78,180.0,top
C70,100nF,C_0402_1005Metric,210.08,-109.75,180.0,top
C71,100nF,C_0402_1005Metric,203.6,-108.17,-90.0,top
C72,100nF,C_0402_1005Metric,195.82,-94.7,180.0,top
C73,100nF,C_0402_1005Metric,200.9,-102.02,90.0,top
C74,100nF,C_0402_1005Metric,218.505,-120.575,180.0,top
C75,100nF,C_0402_1005Metric,228.38,-116.725,180.0,top
C76,100nF,C_0402_1005Metric,228.295,-133.75,0.0,top
C77,100nF,C_0402_1005Metric,218.95,-134.23,90.0,top
C78,100nF,C_0402_1005Metric,196.4,-68.095,90.0,top
C80,100nF,C_0402_1005Metric,204.645,-62.325,0.0,top
C81,100nF,C_0402_1005Metric,201.17,-69.65,0.0,top
C82,100nF,C_0402_1005Metric,196.01,-79.3425,0.0,top
D1,"U19,1",D_SOD-123,137.95,-70.08,180.0,top
D2,"U19,2",D_SOD-123,136.61,-72.47,0.0,top
D3,"U19,3",D_SOD-123,139.03,-74.97,180.0,top
D4,"U19,4",D_SOD-123,141.4075,-72.49,0.0,top
D5,"U19,5",D_SOD-123,136.99,-59.75,0.0,top
D6,"U19,6",D_SOD-123,138.9,-55.875,180.0,top
D7,"U19,7",D_SOD-123,141.775,-58.2,0.0,top
D8,"U19,8",D_SOD-123,141.775,-60.5,0.0,top
D9,"U20,6",D_SOD-123,230.675,-45.95,90.0,top
D10,"U20,7",D_SOD-123,230.85,-40.05,-90.0,top
D11,"U21,1",D_SOD-123,155.59,-122.53,180.0,top
D12,"U21,2",D_SOD-123,160.5275,-120.02,0.0,top
D13,"U21,3",D_SOD-123,155.62,-124.95,180.0,top
D14,"U21,4",D_SOD-123,155.615,-120.03,180.0,top
D15,"U21,5",D_SOD-123,155.625,-117.605,180.0,top
D16,"U21,8",D_SOD-123,155.6,-127.38,180.0,top
D17,"U21,7",D_SOD-123,160.51,-122.54,180.0,top
D18,"U21,6",D_SOD-123,156.336,-129.794,0.0,top
D19,"U20,8",D_SOD-123,139.15,-114.35,0.0,top
D20,"U20,2",D_SOD-123,194.8688,-129.6182,-90.0,top
D21,"U20,1",D_SOD-123,192.3288,-129.5928,-90.0,top
D22,~,D_SOD-123,141.479,-126.111,0.0,top
D23,"U20,3",D_SOD-123,199.9,-132.95,-90.0,top
D25,"U20,4",D_SOD-123,197.3834,-129.6172,-90.0,top
D26,"U20,5",D_SOD-123,182.1678,-119.6848,0.0,top
D29,"U19,4",D_SOD-123,141.35,-84.27,180.0,top
D30,"U19,3",D_SOD-123,141.4,-87.69,0.0,top
D31,"U19,4",D_SOD-123,136.54,-84.29,180.0,top
D32,"U19,3",D_SOD-123,136.45,-87.69,0.0,top
D33,1N5819HW,D_SOD-123,219.925,-91.425,-90.0,top
D34,1N5819HW,D_SOD-123,219.95,-80.95,90.0,top
R1,10k,R_0402_1005Metric,133.9875,-46.05,0.0,top
R2,1k,R_0402_1005Metric,208.09,-97.575,0.0,top
R3,10k,R_0402_1005Metric,143.7675,-46.227501,180.0,top
R4,10k,R_0402_1005Metric,139.89,-92.0,0.0,top
R5,10k,R_0402_1005Metric,136.9,-57.525,180.0,top
R7,10k,R_0402_1005Metric,135.382,-74.27,0.0,top
R8,10k,R_0402_1005Metric,142.08,-70.74,180.0,top
R9,10k,R_0402_1005Metric,205.68,-72.26,180.0,top
R10,10k,R_0402_1005Metric,205.68,-71.26,180.0,top
R11,10k,R_0402_1005Metric,205.6,-73.65,180.0,top
R12,10k,R_0402_1005Metric,205.115,-75.69,-90.0,top
R13,10k,R_0402_1005Metric,195.79,-70.96,-90.0,top
R14,10k,R_0402_1005Metric,195.79,-72.96,-90.0,top
R15,100k,R_0402_1005Metric,218.41,-123.27,0.0,top
R16,3k,R_0402_1005Metric,218.41,-124.52,180.0,top
R17,1k,R_0402_1005Metric,198.99,-88.7,180.0,top
R18,300k,R_0402_1005Metric,196.82,-88.7,180.0,top
R19,10k,R_0402_1005Metric,146.34,-60.56,0.0,top
R20,10k,R_0402_1005Metric,143.762,-64.262,180.0,top
R21,75k,R_0402_1005Metric,221.11,-61.83,0.0,top
R22,10k,R_0402_1005Metric,225.45,-49.8,-90.0,top
R23,10k,R_0402_1005Metric,224.601974,-41.685,180.0,top
R24,20k,R_0402_1005Metric,220.6,-46.39,-90.0,top
R25,7.1k,R_0402_1005Metric,224.57,-51.65,0.0,top
R26,10k,R_0402_1005Metric,223.46,-50.35,0.0,top
R27,100k,R_0402_1005Metric,230.6,-56.16,-90.0,top
R28,20k,R_0402_1005Metric,220.35,-37.89,90.0,top
R29,10k,R_0402_1005Metric,221.11,-50.4,180.0,top
R30,20k,R_0402_1005Metric,218.86,-43.15,0.0,top
R31,10k,R_0402_1005Metric,222.36,-41.65,0.0,top
R32,10k,R_0402_1005Metric,219.0,-52.9,0.0,top
R33,75k,R_0402_1005Metric,231.2,-34.51,90.0,top
R34,10k,R_0402_1005Metric,146.5,-76.7,180.0,top
R35,1k,R_0402_1005Metric,142.35,-74.65,-90.0,top
R36,10k,R_0402_1005Metric,139.835,-86.0,0.0,top
R37,1k,R_0402_1005Metric,144.75,-88.86,0.0,top
R38,1k,R_0402_1005Metric,139.04,-89.42,0.0,top
R39,10k,R_0402_1005Metric,142.6,-100.0,0.0,top
R40,10k,R_0402_1005Metric,190.55,-132.74,90.0,top
R41,10k,R_0402_1005Metric,182.74,-130.73,90.0,top
R42,10k,R_0402_1005Metric,199.3,-128.49,90.0,top
R43,47k,R_0402_1005Metric,181.16,-127.76,90.0,top
R44,10k,R_0402_1005Metric,183.5,-125.2888,90.0,top
R45,470k,R_0402_1005Metric,179.615,-133.85,0.0,top
R46,200,R_0402_1005Metric,191.09,-121.26,-90.0,top
R47,100,R_0402_1005Metric,191.565,-122.985,0.0,top
R48,100,R_0402_1005Metric,193.125,-123.525,-90.0,top
R49,10k thermistor,R_0402_1005Metric,178.562,-120.7516,-90.0,top
R50,10k,R_0402_1005Metric,178.562,-118.872,-90.0,top
R51,330k,R_0402_1005Metric,182.225,-103.36,90.0,top
R52,470k,R_0402_1005Metric,182.465,-116.75,180.0,top
R53,10k,R_0402_1005Metric,186.79,-119.25,0.0,top
R54,47k,R_0402_1005Metric,187.23,-110.64,0.0,top
R57,10M,R_0402_1005Metric,183.95,-107.04,90.0,top
R58,100k,R_0402_1005Metric,183.95,-109.04,90.0,top
R59,100k,R_0402_1005Metric,141.859,-130.939,-90.0,top
R60,1k,R_0402_1005Metric,218.41,-125.77,0.0,top
R61,1k,R_0402_1005Metric,228.415,-121.905,0.0,top
R62,1k,R_0402_1005Metric,200.385,-49.825,-90.0,top
R63,4.3k,R_0402_1005Metric,192.185,-74.05,180.0,top
R64,3k,R_0402_1005Metric,193.265,-75.15,180.0,top
R65,2k,R_0402_1005Metric,166.24,-61.7,180.0,top
R66,10k,R_0402_1005Metric,166.24,-60.6,0.0,top
R67,10k,R_0402_1005Metric,134.7,-108.645,90.0,top
R68,10k,R_0402_1005Metric,134.55,-111.46,90.0,top
R69,10k,R_0402_1005Metric,142.65,-113.05,180.0,top
R70,11k,R_0402_1005Metric,156.718,-114.808,0.0,top
R71,12k,R_0402_1005Metric,144.524,-115.316,180.0,top
R72,10k,R_0402_1005Metric,157.734,-115.978,180.0,top
R73,12k,R_0402_1005Metric,156.083,-134.199,180.0,top
R74,11k,R_0402_1005Metric,156.073,-132.949,0.0,top
R75,10k,R_0402_1005Metric,156.083,-131.699,0.0,top
R76,1.0M,R_0402_1005Metric,158.57,-135.33,0.0,top
R77,100k,R_0402_1005Metric,140.716,-128.524,90.0,top
R78,100k,R_0402_1005Metric,140.716,-130.935,-90.0,top
R79,1.0M,R_0402_1005Metric,137.67,-125.603,0.0,top
R80,1k,R_0402_1005Metric,139.573,-128.524,-90.0,top
R81,220,R_0402_1005Metric,142.65,-114.2,0.0,top
R82,1k,R_0402_1005Metric,142.6,-101.27,180.0,top
R83,1k,R_0402_1005Metric,196.274,-39.91,90.0,top
R84,10k,R_0402_1005Metric,135.568,-91.98,0.0,top
R85,10k,R_0402_1005Metric,135.42,-76.65,0.0,top
R86,10k,R_0402_1005Metric,135.18,-86.0,0.0,top
R87,1k,R_0402_1005Metric,135.34,-101.25,0.0,top
R88,1k,R_0402_1005Metric,133.26,-60.13,180.0,top
R89,1k,R_0402_1005Metric,136.35,-89.35,180.0,top
R90,1k,R_0402_1005Metric,198.6,-39.4,180.0,top
R91,1k,R_0402_1005Metric,156.21,-108.2528,90.0,top
R92,1k,R_0402_1005Metric,153.15,-101.725,0.0,top
R93,1k,R_0402_1005Metric,154.75,-79.2,90.0,top
R94,1k,R_0402_1005Metric,199.6425,-40.36,180.0,top
R95,1k,R_0402_1005Metric,205.785,-39.785,-90.0,top
R96,1k,R_0402_1005Metric,207.085,-49.795,90.0,top
R97,1k,R_0402_1005Metric,204.535,-49.845,90.0,top
R98,3k,R_0402_1005Metric,197.835,-49.825,-90.0,top
R99,100k,R_0402_1005Metric,196.585,-49.825,90.0,top
R100,10k,R_0402_1005Metric,193.5,-100.46,90.0,top
R101,18k,R_0402_1005Metric,193.5,-98.44,90.0,top
R102,10k,R_0402_1005Metric,189.89,-74.05,180.0,top
R103,10k,R_0402_1005Metric,192.1,-63.45,90.0,top
R104,4.7k,R_0402_1005Metric,192.175,-72.65,180.0,top
R105,1k,R_0402_1005Metric,228.415,-124.405,0.0,top
R106,1k,R_0402_1005Metric,228.305,-130.03,0.0,top
R107,1k,R_0402_1005Metric,228.325,-131.18,180.0,top
R108,1k,R_0402_1005Metric,218.41,-130.02,180.0,top
R109,1k,R_0402_1005Metric,218.39,-128.77,0.0,top
R110,2k,R_0402_1005Metric,165.64,-110.25,0.0,top
R111,10k,R_0402_1005Metric,165.615,-111.5,180.0,top
R112,100k,R_0402_1005Metric,210.9375,-121.34,90.0,top
R113,1k,R_0402_1005Metric,213.5375,-121.36,90.0,top
TR1,FMBM5551,SOT-23-6_Handsoldering,217.5,-46.1,180.0,top
TR2,FMBM5551,SOT-23-6_Handsoldering,217.45,-50.35,180.0,top
TR3,FMBM5551,SOT-23-6_Handsoldering,180.175,-124.2,-90.0,top
TR4,FMBM5551,SOT-23-6_Handsoldering,192.79,-115.72,90.0,top
TR5,FMBM5551,SOT-23-6_Handsoldering,228.45,-50.35,180.0,top
U1,TL082,SOIC-8_3.9x4.9mm_P1.27mm,138.965,-46.15,0.0,top
U2,TL082,SOIC-8_3.9x4.9mm_P1.27mm,138.89,-66.215,0.0,top
U3,TL082,SOIC-8_3.9x4.9mm_P1.27mm,138.9525,-51.645,0.0,top
U4,TL082,SOIC-8_3.9x4.9mm_P1.27mm,200.815,-72.955,180.0,top
U5,TL082,SOIC-8_3.9x4.9mm_P1.27mm,224.875,-45.25,180.0,top
U6,TL082,SOIC-8_3.9x4.9mm_P1.27mm,224.575,-38.325,180.0,top
U7,TL082,SOIC-8_3.9x4.9mm_P1.27mm,167.65,-81.55,0.0,top
U8,TL082,SOIC-8_3.9x4.9mm_P1.27mm,187.29,-133.675,90.0,top
U9,TL082,SOIC-8_3.9x4.9mm_P1.27mm,187.29,-124.225,90.0,top
U10,TL082,SOIC-8_3.9x4.9mm_P1.27mm,187.29,-114.975,90.0,top
U11,TL082,SOIC-8_3.9x4.9mm_P1.27mm,187.29,-105.725,90.0,top
U12,TL082,SOIC-8_3.9x4.9mm_P1.27mm,138.895,-108.635,180.0,top
U13,TL084,SOIC-14_3.9x8.7mm_P1.27mm,139.0,-120.1275,0.0,top
U14,RC4580,SOIC-8_3.9x4.9mm_P1.27mm,200.925,-65.645,0.0,top
U15,TL082,SO-8_3.9x4.9mm_P1.27mm,139.175,-95.345,0.0,top
U16,AD633ARZ-RL,SOIC-8_3.9x4.9mm_P1.27mm,200.825,-79.985,180.0,top
U17,TL082,SO-8_3.9x4.9mm_P1.27mm,139.23,-80.155,0.0,top
U18,LM4040DBZ-10,SOT-23,207.65,-101.2375,-90.0,top
U19,74HC148,SOIC-16W_5.3x10.2mm_P1.27mm,185.1275,-44.735,-90.0,top
U20,LM339,SOIC-14_3.9x8.7mm_P1.27mm,196.575,-44.61,90.0,top
U21,LM339,SOIC-14_3.9x8.7mm_P1.27mm,207.075,-44.56,-90.0,top
U22,CD4051,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,186.475,-55.65,180.0,top
U23,CD4051,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,186.45,-98.775,180.0,top
U24,CD4051,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,186.525,-77.45,180.0,top
U25,CD4051,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,186.5,-91.675,180.0,top
U26,CD4051,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,186.475,-70.4,180.0,top
U27,74LS151,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,186.475,-63.4,180.0,top
U28,CD4051,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,186.532561,-84.475,180.0,top
U29,LM339,SOIC-14_3.9x8.7mm_P1.27mm,223.45,-121.905,0.0,top
U30,LM339,SOIC-14_3.9x8.7mm_P1.27mm,223.425,-132.46,180.0,top
U31,74HC148,SOIC-16W_5.3x10.2mm_P1.27mm,223.45,-110.345,180.0,top
U32,DG4051E,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,213.1975,-114.185,90.0,top
U33,DG4051E,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,205.875,-114.385,90.0,top
U34,DG4051E,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,197.575,-99.125,-90.0,top
U35,DG4051E,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,198.99,-114.31,90.0,top
U36,LM78M05_TO252,TO-252-2,226.225,-71.325,-90.0,top
U37,TL082,SOIC-8_3.9x4.9mm_P1.27mm,224.825,-55.015,180.0,top
